Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Digital Media,Internet(hr/day),49006,2005-2009,8,1.04,mean,1.34
Digital Media,Internet(hr/day),51447,2005-2009,10,1.12,mean,1.34
Digital Media,Internet(hr/day),20250,2005-2009,12,1.06,mean,1.32
Digital Media,Internet(hr/day),49006,2010,8,1.08,mean,1.58
Digital Media,Internet(hr/day),51447,2010,10,1.18,mean,1.59
Digital Media,Internet(hr/day),20250,2010,12,1.35,mean,1.66
Digital Media,Internet(hr/day),49006,2011,8,1.12,mean,1.61
Digital Media,Internet(hr/day),51447,2011,10,1.24,mean,1.68
Digital Media,Internet(hr/day),20250,2011,12,1.44,mean,1.76
Digital Media,Internet(hr/day),49006,2012,8,1.15,mean,1.65
Digital Media,Internet(hr/day),51447,2012,10,1.34,mean,1.73
Digital Media,Internet(hr/day),20250,2012,12,1.57,mean,1.88
Digital Media,Internet(hr/day),49006,2013,8,1.42,mean,1.92
Digital Media,Internet(hr/day),51447,2013,10,1.54,mean,1.89
Digital Media,Internet(hr/day),20250,2013,12,1.74,mean,1.93
Digital Media,Internet(hr/day),49006,2014,8,1.5,mean,1.99
Digital Media,Internet(hr/day),51447,2014,10,1.79,mean,2.05
Digital Media,Internet(hr/day),20250,2014,12,1.95,mean,2.01
Digital Media,Internet(hr/day),49006,2015,8,1.66,mean,2.07
Digital Media,Internet(hr/day),51447,2015,10,1.78,mean,2.04
Digital Media,Internet(hr/day),20250,2015,12,2.03,mean,2.09
Digital Media,Internet(hr/day),49006,2016,8,1.66,mean,2.03
Digital Media,Internet(hr/day),51447,2016,10,1.92,mean,2.07
Digital Media,Internet(hr/day),20250,2016,12,2.18,mean,2.14
Digital Media,Texting (hr/day),30740,2010,8,1.84,mean,2.39
Digital Media,Texting (hr/day),31649,2010,10,2.21,mean,2.49
Digital Media,Texting (hr/day),11858,2010,12,2.39,mean,2.51
Digital Media,Texting (hr/day),30740,2011,8,1.88,mean,2.39
Digital Media,Texting (hr/day),31649,2011,10,2.34,mean,2.52
Digital Media,Texting (hr/day),11858,2011,12,2.48,mean,2.5
Digital Media,Texting (hr/day),30740,2012,8,1.66,mean,2.24
Digital Media,Texting (hr/day),31649,2012,10,2.11,mean,2.4
Digital Media,Texting (hr/day),11858,2012,12,2.31,mean,2.39
Digital Media,Texting (hr/day),30740,2013,8,1.64,mean,2.21
Digital Media,Texting (hr/day),31649,2013,10,2.06,mean,2.36
Digital Media,Texting (hr/day),11858,2013,12,2.3,mean,2.42
Digital Media,Texting (hr/day),30740,2014,8,1.51,mean,2.12
Digital Media,Texting (hr/day),31649,2014,10,2.02,mean,2.34
Digital Media,Texting (hr/day),11858,2014,12,2.25,mean,2.35
Digital Media,Texting (hr/day),30740,2015,8,1.46,mean,2.1
Digital Media,Texting (hr/day),31649,2015,10,1.77,mean,2.19
Digital Media,Texting (hr/day),11858,2015,12,2.08,mean,2.3
Digital Media,Texting (hr/day),30740,2016,8,1.27,mean,1.89
Digital Media,Texting (hr/day),31649,2016,10,1.68,mean,2.1
Digital Media,Texting (hr/day),11858,2016,12,1.99,mean,1.25
Digital Media,Social Media (hr/day),17166,2013,8,1.25,mean,1.98
Digital Media,Social Media (hr/day),17532,2013,10,1.34,mean,1.95
Digital Media,Social Media (hr/day),5658,2013,12,1.43,mean,1.95
Digital Media,Social Media (hr/day),17166,2014,8,1.49,mean,2.14
Digital Media,Social Media (hr/day),17532,2014,10,1.73,mean,2.2
Digital Media,Social Media (hr/day),5658,2014,12,1.78,mean,2.14
Digital Media,Social Media (hr/day),17166,2015,8,1.41,mean,2.07
Digital Media,Social Media (hr/day),17532,2015,10,1.61,mean,2.1
Digital Media,Social Media (hr/day),5658,2015,12,1.7,mean,2.11
Digital Media,Social Media (hr/day),17166,2016,8,1.36,mean,1.99
Digital Media,Social Media (hr/day),17532,2016,10,1.63,mean,2.06
Digital Media,Social Media (1-5 scale),109958,2005-2009,8,3.73,mean,1.58
Digital Media,Social Media (1-5 scale),100395,2005-2009,10,4.04,mean,1.37
Digital Media,Social Media (1-5 scale),20849,2005-2009,12,3.98,mean,1.37
Digital Media,Social Media (1-5 scale),109958,2010,8,4,mean,1.45
Digital Media,Social Media (1-5 scale),100395,2010,10,4.24,mean,1.26
Digital Media,Social Media (1-5 scale),20849,2010,12,4.26,mean,1.22
Digital Media,Social Media (1-5 scale),109958,2011,8,4.07,mean,1.43
Digital Media,Social Media (1-5 scale),100395,2011,10,4.36,mean,1.19
Digital Media,Social Media (1-5 scale),20849,2011,12,4.41,mean,1.13
Digital Media,Social Media (1-5 scale),109958,2012,8,4.09,mean,1.38
Digital Media,Social Media (1-5 scale),100395,2012,10,4.43,mean,1.11
Digital Media,Social Media (1-5 scale),20849,2012,12,4.48,mean,1.07
Digital Media,Social Media (1-5 scale),109958,2013,8,4.15,mean,1.35
Digital Media,Social Media (1-5 scale),100395,2013,10,4.43,mean,1.13
Digital Media,Social Media (1-5 scale),20849,2013,12,4.48,mean,1.07
Digital Media,Social Media (1-5 scale),109958,2014,8,4.34,mean,1.27
Digital Media,Social Media (1-5 scale),100395,2014,10,4.53,mean,1.07
Digital Media,Social Media (1-5 scale),20849,2014,12,4.59,mean,0.99
Digital Media,Social Media (1-5 scale),109958,2015,8,4.41,mean,1.22
Digital Media,Social Media (1-5 scale),100395,2015,10,4.57,mean,1.05
Digital Media,Social Media (1-5 scale),20849,2015,12,4.65,mean,0.89
Digital Media,Social Media (1-5 scale),109958,2016,8,4.4,mean,1.23
Digital Media,Social Media (1-5 scale),100395,2016,10,4.63,mean,0.97
Digital Media,Social Media (1-5 scale),20849,2016,12,4.64,mean,0.94
Digital Media,Social Media almost every day (%),109958,2005-2009,8,51,percent,1.58
Digital Media,Social Media almost every day (%),100395,2005-2009,10,58,percent,1.37
Digital Media,Social Media almost every day (%),20849,2005-2009,12,52,percent,1.37
Digital Media,Social Media almost every day (%),109958,2010,8,57,percent,1.45
Digital Media,Social Media almost every day (%),100395,2010,10,64,percent,1.26
Digital Media,Social Media almost every day (%),20849,2010,12,63,percent,1.22
Digital Media,Social Media almost every day (%),109958,2011,8,61,percent,1.43
Digital Media,Social Media almost every day (%),100395,2011,10,69,percent,1.19
Digital Media,Social Media almost every day (%),20849,2011,12,70,percent,1.13
Digital Media,Social Media almost every day (%),109958,2012,8,59,percent,1.38
Digital Media,Social Media almost every day (%),100395,2012,10,71,percent,1.11
Digital Media,Social Media almost every day (%),20849,2012,12,72,percent,1.07
Digital Media,Social Media almost every day (%),109958,2013,8,62,percent,1.35
Digital Media,Social Media almost every day (%),100395,2013,10,72,percent,1.13
Digital Media,Social Media almost every day (%),20849,2013,12,74,percent,1.07
Digital Media,Social Media almost every day (%),109958,2014,8,72,percent,1.27
Digital Media,Social Media almost every day (%),100395,2014,10,79,percent,1.07
Digital Media,Social Media almost every day (%),20849,2014,12,81,percent,0.99
Digital Media,Social Media almost every day (%),109958,2015,8,75,percent,1.22
Digital Media,Social Media almost every day (%),100395,2015,10,81,percent,1.05
Digital Media,Social Media almost every day (%),20849,2015,12,82,percent,0.89
Digital Media,Social Media almost every day (%),109958,2016,8,75,percent,1.23
Digital Media,Social Media almost every day (%),100395,2016,10,83,percent,0.97
Digital Media,Social Media almost every day (%),20849,2016,12,82,percent,0.94
Digital Media,Gaming(hr/day),39560,2005-2009,8,1.05,mean,1.42
Digital Media,Gaming(hr/day),41437,2005-2009,10,0.93,mean,1.35
Digital Media,Gaming(hr/day),15827,2005-2009,12,0.92,mean,1.35
Digital Media,Gaming(hr/day),39560,2010,8,1.29,mean,1.84
Digital Media,Gaming(hr/day),41437,2010,10,1.19,mean,1.75
Digital Media,Gaming(hr/day),15827,2010,12,1.29,mean,1.85
Digital Media,Gaming(hr/day),39560,2011,8,1.37,mean,1.87
Digital Media,Gaming(hr/day),41437,2011,10,1.25,mean,1.84
Digital Media,Gaming(hr/day),15827,2011,12,1.31,mean,1.83
Digital Media,Gaming(hr/day),39560,2012,8,1.34,mean,1.82
Digital Media,Gaming(hr/day),41437,2012,10,1.32,mean,1.87
Digital Media,Gaming(hr/day),15827,2012,12,1.38,mean,1.93
Digital Media,Gaming(hr/day),39560,2013,8,1.57,mean,2.01
Digital Media,Gaming(hr/day),41437,2013,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2013,12,1.41,mean,1.93
Digital Media,Gaming(hr/day),39560,2014,8,1.6,mean,2.05
Digital Media,Gaming(hr/day),41437,2014,10,1.62,mean,2.09
Digital Media,Gaming(hr/day),15827,2014,12,1.44,mean,1.89
Digital Media,Gaming(hr/day),39560,2015,8,1.61,mean,2.05
Digital Media,Gaming(hr/day),41437,2015,10,1.45,mean,1.96
Digital Media,Gaming(hr/day),15827,2015,12,1.46,mean,1.97
Digital Media,Gaming(hr/day),39560,2016,8,1.57,mean,1.98
Digital Media,Gaming(hr/day),41437,2016,10,1.54,mean,1.99
Digital Media,Gaming(hr/day),15827,2016,12,1.5,mean,1.98