"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","323,531,965","±28,863"
"    1 to 4 years","16,010,841","±33,459"
"    5 to 17 years","53,705,927","±31,904"
"    18 and 19 years","8,938,388","±39,927"
"    20 to 24 years","21,717,962","±35,865"
"    25 to 29 years","23,320,702","±28,744"
"    30 to 34 years","22,023,972","±26,739"
"    35 to 39 years","21,571,302","±75,253"
"    40 to 44 years","19,927,151","±70,257"
"    45 to 49 years","20,733,440","±27,506"
"    50 to 54 years","20,871,804","±23,946"
"    55 to 59 years","21,624,541","±56,826"
"    60 to 64 years","20,662,821","±59,252"
"    65 to 69 years","17,107,288","±43,407"
"    70 to 74 years","13,464,025","±42,464"
"    75 years and over","21,851,801","±15,500"
"    Same house 1 year ago:","278,079,469","±191,887"
"        1 to 4 years","13,071,298","±39,183"
"        5 to 17 years","47,086,962","±56,102"
"        18 and 19 years","6,576,415","±34,947"
"        20 to 24 years","15,490,656","±51,036"
"        25 to 29 years","17,104,949","±47,340"
"        30 to 34 years","17,511,356","±40,806"
"        35 to 39 years","18,180,287","±72,592"
"        40 to 44 years","17,443,376","±67,391"
"        45 to 49 years","18,583,677","±36,963"
"        50 to 54 years","18,981,746","±32,591"
"        55 to 59 years","19,854,773","±55,163"
"        60 to 64 years","19,158,576","±56,966"
"        65 to 69 years","16,024,535","±44,454"
"        70 to 74 years","12,672,768","±42,026"
"        75 years and over","20,338,095","±23,529"
"    Moved within same county:","25,406,210","±142,448"
"        1 to 4 years","1,812,560","±30,505"
"        5 to 17 years","4,187,335","±51,285"
"        18 and 19 years","853,887","±17,404"
"        20 to 24 years","3,302,690","±36,332"
"        25 to 29 years","3,392,214","±31,280"
"        30 to 34 years","2,533,852","±26,050"
"        35 to 39 years","1,931,144","±26,612"
"        40 to 44 years","1,447,346","±21,858"
"        45 to 49 years","1,252,420","±22,673"
"        50 to 54 years","1,073,824","±21,376"
"        55 to 59 years","985,838","±19,001"
"        60 to 64 years","800,379","±14,244"
"        65 to 69 years","548,318","±12,262"
"        70 to 74 years","412,041","±12,198"
"        75 years and over","872,362","±14,753"
"    Moved from different county within same state:","10,515,375","±79,345"
"        1 to 4 years","582,595","±17,163"
"        5 to 17 years","1,226,810","±27,050"
"        18 and 19 years","863,809","±13,626"
"        20 to 24 years","1,605,799","±24,689"
"        25 to 29 years","1,512,317","±25,136"
"        30 to 34 years","1,023,589","±20,025"
"        35 to 39 years","767,073","±14,408"
"        40 to 44 years","543,330","±13,156"
"        45 to 49 years","477,201","±12,447"
"        50 to 54 years","435,650","±11,292"
"        55 to 59 years","400,504","±9,445"
"        60 to 64 years","347,554","±10,689"
"        65 to 69 years","239,534","±9,152"
"        70 to 74 years","171,193","±7,071"
"        75 years and over","318,417","±10,732"
"    Moved from different state:","7,571,282","±77,765"
"        1 to 4 years","439,128","±14,538"
"        5 to 17 years","912,847","±23,432"
"        18 and 19 years","548,134","±12,789"
"        20 to 24 years","1,064,094","±18,382"
"        25 to 29 years","1,058,400","±22,663"
"        30 to 34 years","756,411","±18,688"
"        35 to 39 years","540,694","±13,119"
"        40 to 44 years","377,420","±11,269"
"        45 to 49 years","330,066","±11,530"
"        50 to 54 years","308,866","±11,736"
"        55 to 59 years","308,664","±9,025"
"        60 to 64 years","281,996","±8,491"
"        65 to 69 years","230,828","±8,095"
"        70 to 74 years","160,678","±7,142"
"        75 years and over","253,056","±9,174"
"    Moved from abroad:","1,959,629","±39,920"
"        1 to 4 years","105,260","±7,186"
"        5 to 17 years","291,973","±14,164"
"        18 and 19 years","96,143","±4,809"
"        20 to 24 years","254,723","±9,834"
"        25 to 29 years","252,822","±10,718"
"        30 to 34 years","198,764","±8,361"
"        35 to 39 years","152,104","±7,251"
"        40 to 44 years","115,679","±6,578"
"        45 to 49 years","90,076","±6,245"
"        50 to 54 years","71,718","±4,887"
"        55 to 59 years","74,762","±5,101"
"        60 to 64 years","74,316","±5,703"
"        65 to 69 years","64,073","±4,210"
"        70 to 74 years","47,345","±3,824"
"        75 years and over","69,871","±4,585"